company,job_id,job_title,department,location,url,post_date,scrape_date
Airbnb,7129253,"Senior Staff Backend Engineer, Quality and Merchandising",Engineering,Remote - US,https://careers.airbnb.com/positions/7129253?gh_jid=7129253,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7107054,"Senior Staff Data Scientist, Guest Funnel",Data & Analytics,Remote,https://careers.airbnb.com/positions/7107054?gh_jid=7107054,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6706230,"Senior Staff Engineer, iOS - Communication and Connectivity",Engineering,Remote - US,https://careers.airbnb.com/positions/6706230?gh_jid=6706230,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7159569,Senior Staff Machine Learning Engineer - AI Safety and Guardrail ,Engineering,United States,https://careers.airbnb.com/positions/7159569?gh_jid=7159569,2025-08-12T00:25:48-04:00,22-08-2025
Airbnb,7005605,"Senior Staff Machine Learning Engineer, Communication & Connectivity",Engineering,Remote - USA,https://careers.airbnb.com/positions/7005605?gh_jid=7005605,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6757302,"Senior Staff Machine Learning Engineer, Community Support Engineering",Engineering,United States,https://careers.airbnb.com/positions/6757302?gh_jid=6757302,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7028263,Senior Staff Machine Learning Engineer – GenAI,Engineering,United States,https://careers.airbnb.com/positions/7028263?gh_jid=7028263,2025-08-20T00:00:08-04:00,22-08-2025
Airbnb,6817373,Senior Staff Machine Learning Engineer - Guest & Host,Engineering,United States,https://careers.airbnb.com/positions/6817373?gh_jid=6817373,2025-08-08T13:41:40-04:00,22-08-2025
Airbnb,6237467,"Senior Staff Machine Learning Engineer, Relevance and Personalization",Engineering,United States,https://careers.airbnb.com/positions/6237467?gh_jid=6237467,2025-08-08T13:43:18-04:00,22-08-2025
Airbnb,6480711,"Senior Staff Software Engineer, Community Support Engineering",Engineering,China,https://careers.airbnb.com/positions/6480711?gh_jid=6480711,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6781895,"Senior Staff Software Engineer, Hotels",Engineering,"Remote, USA",https://careers.airbnb.com/positions/6781895?gh_jid=6781895,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6358994,"Senior Staff Software Engineer, Infrastructure",Engineering,Remote - USA,https://careers.airbnb.com/positions/6358994?gh_jid=6358994,2025-08-21T12:30:58-04:00,22-08-2025
Airbnb,6900568,"Senior Staff Technical Program Manager, Pricing",Product,Remote,https://careers.airbnb.com/positions/6900568?gh_jid=6900568,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7169653,"Senior Staff Technical Program Manager, Search Relevance & Personalization",Engineering,United States,https://careers.airbnb.com/positions/7169653?gh_jid=7169653,2025-08-14T18:31:13-04:00,22-08-2025
Airbnb,6956809,"Senior Systems Engineer, Slack",Engineering,United States,https://careers.airbnb.com/positions/6956809?gh_jid=6956809,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6978363,Senior Talent Business Partner (Senior Human Resources Business Partner),Human Resources,United States ,https://careers.airbnb.com/positions/6978363?gh_jid=6978363,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6976270,Senior Talent Business Partner (Senior Human Resources Business Partner),Human Resources,"San Francisco, United States ",https://careers.airbnb.com/positions/6976270?gh_jid=6976270,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7158963,Senior Trends & Foresight Lead,,United States ,https://careers.airbnb.com/positions/7158963?gh_jid=7158963,2025-08-21T12:18:42-04:00,22-08-2025
Airbnb,7142292,"Software Engineer, Android, Global Markets ",Engineering,China,https://careers.airbnb.com/positions/7142292?gh_jid=7142292,2025-08-12T09:18:31-04:00,22-08-2025
Airbnb,7028667,"Software Engineer, Guest & Host",Engineering,China,https://careers.airbnb.com/positions/7028667?gh_jid=7028667,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,6992043,"Software Engineer, Marketplace API",Engineering,United States,https://careers.airbnb.com/positions/6992043?gh_jid=6992043,2025-08-13T14:30:46-04:00,22-08-2025
Airbnb,7064728,"Specialist, Safety",,Canada,https://careers.airbnb.com/positions/7064728?gh_jid=7064728,2025-08-07T13:14:03-04:00,22-08-2025
Airbnb,7059047,"Sr. Manager, Marketplace Intelligence and Forecasting",,Remote,https://careers.airbnb.com/positions/7059047?gh_jid=7059047,2025-08-07T13:14:03-04:00,22-08-2025
